budget;genres;id;keywords;original_language;original_title;overview;production_companies;release_date;revenue;runtime;tagline;title;rating;vote_count;director
270000000;Adventure & Fantasy & Action & Science Fiction;1452;saving the world dc comics invulnerability sequel superhero;en;Superman Returns;Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.;"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]";2006-06-28;391081192;154.0;;Superman Returns;5.4;1400;Bryan Singer
200000000;Adventure & Action & Thriller & Crime;10764;killing undercover secret agent british secret service;en;Quantum of Solace;Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.;"[{""name"": ""Eon Productions"", ""id"": 7576}]";2008-10-30;586090727;106.0;For love, for hate, for justice, for revenge.;Quantum of Solace;6.1;2965;Marc Forster
200000000;Adventure & Fantasy & Action;58;witch fortune teller bondage exotic island monster;en;Pirates of the Caribbean: Dead Man's Chest;Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]";2006-06-20;1065659812;151.0;Jack is back!;Pirates of the Caribbean: Dead Man's Chest;7.0;5246;Gore Verbinski
255000000;Action & Adventure & Western;57201;texas horse survivor texas ranger partner;en;The Lone Ranger;The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]";2013-07-03;89289910;149.0;Never Take Off the Mask;The Lone Ranger;5.9;2311;Gore Verbinski
225000000;Action & Adventure & Fantasy & Science Fiction;49521;saving the world dc comics superhero based on comic book superhuman;en;Man of Steel;A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.;"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]";2013-06-12;662845518;143.0;You will believe that a man can fly.;Man of Steel;6.5;6359;Zack Snyder
225000000;Adventure & Family & Fantasy;2454;based on novel fictional place brother sister relationship lion human being;en;The Chronicles of Narnia: Prince Caspian;One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.;"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Stillking Films"", ""id"": 11345}, {""name"": ""Ozumi Films"", ""id"": 11440}, {""name"": ""Propeler"", ""id"": 11441}, {""name"": ""Silverbell Films"", ""id"": 11442}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]";2008-05-15;419651413;150.0;Hope has a new face.;The Chronicles of Narnia: Prince Caspian;6.3;1630;Andrew Adamson
220000000;Science Fiction & Action & Adventure;24428;new york shield marvel comic superhero based on comic book;en;The Avengers;When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!;"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]";2012-04-25;1519557910;143.0;Some assembly required.;The Avengers;7.4;11776;Joss Whedon
380000000;Adventure & Action & Fantasy;1865;sea captain mutiny sword prime minister;en;Pirates of the Caribbean: On Stranger Tides;Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]";2011-05-14;1045713802;136.0;Live Forever Or Die Trying.;Pirates of the Caribbean: On Stranger Tides;6.4;4948;Rob Marshall
225000000;Action & Comedy & Science Fiction;41154;time travel time machine alien fictional government agency seeing the future;en;Men in Black 3;Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.;"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]";2012-05-23;624026776;106.0;They are back... in time.;Men in Black 3;6.2;4160;Barry Sonnenfeld
250000000;Action & Adventure & Fantasy;122917;corruption elves dwarves orcs middle-earth (tolkien);en;The Hobbit: The Battle of the Five Armies;Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.;"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""3Foot7"", ""id"": 7413}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]";2014-12-10;956019788;144.0;Witness the defining chapter of the Middle-Earth saga;The Hobbit: The Battle of the Five Armies;7.1;4760;Peter Jackson
215000000;Action & Adventure & Fantasy;1930;loss of father vigilante serum marvel comic scientific experiment;en;The Amazing Spider-Man;Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]";2012-06-27;752215857;136.0;The untold story begins.;The Amazing Spider-Man;6.5;6586;Marc Webb
200000000;Action & Adventure;20662;robin hood archer knight sherwood forest bow and arrow;en;Robin Hood;"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.";"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}]";2010-05-12;310669540;140.0;Rise and rise again, until lambs become lions.;Robin Hood;6.2;1398;Ridley Scott
250000000;Adventure & Fantasy;57158;elves dwarves orcs hobbit dragon;en;The Hobbit: The Desolation of Smaug;The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.;"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]";2013-12-11;958400000;161.0;Beyond darkness... beyond desolation... lies the greatest danger of all.;The Hobbit: The Desolation of Smaug;7.6;4524;Peter Jackson
180000000;Adventure & Fantasy;2268;england compass experiment lordship uncle;en;The Golden Compass;After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.;"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Depth of Field"", ""id"": 1473}, {""name"": ""Scholastic Productions"", ""id"": 1938}]";2007-12-04;372234864;113.0;There are worlds beyond our own - the compass will show the way.;The Golden Compass;5.8;1303;Chris Weitz
207000000;Adventure & Drama & Action;254;film business screenplay show business film making film producer;en;King Kong;In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.;"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Big Primate Pictures"", ""id"": 68}, {""name"": ""MFPV Film"", ""id"": 69}]";2005-12-14;550000000;187.0;The eighth wonder of the world.;King Kong;6.6;2337;Peter Jackson
200000000;Drama & Romance & Thriller;597;shipwreck iceberg ship panic titanic;en;Titanic;84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.;"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]";1997-11-18;1845034188;194.0;Nothing on Earth could come between them.;Titanic;7.5;7562;James Cameron
250000000;Adventure & Action & Science Fiction;271110;civil war war marvel comic sequel superhero;en;Captain America: Civil War;Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.;"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]";2016-04-27;1153304495;147.0;Divided We Fall;Captain America: Civil War;7.1;7241;Anthony Russo
209000000;Thriller & Action & Adventure & Science Fiction;44833;fight u.s. navy mind reading hong kong soccer;en;Battleship;When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.;"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Film 44"", ""id"": 20153}]";2012-04-11;303025485;131.0;The Battle for Earth Begins at Sea;Battleship;5.5;2114;Peter Berg
150000000;Action & Adventure & Science Fiction & Thriller;135397;monster dna tyrannosaurus rex velociraptor island;en;Jurassic World;Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.;"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]";2015-06-09;1513528810;124.0;The park is open.;Jurassic World;6.5;8662;Colin Trevorrow
200000000;Action & Adventure & Thriller;37724;spy secret agent sociopath killer art gallery;en;Skyfall;When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.;"[{""name"": ""Columbia Pictures"", ""id"": 5}]";2012-10-25;1108561013;143.0;Think on your sins.;Skyfall;6.9;7604;Sam Mendes
200000000;Action & Adventure & Fantasy;558;dual identity love of one's life pizza boy marvel comic sequel;en;Spider-Man 2;Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]";2004-06-25;783766341;127.0;There's a hero in all of us.;Spider-Man 2;6.7;4321;Sam Raimi
200000000;Action & Adventure & Science Fiction;68721;terrorist war on terror tennessee malibu marvel comic;en;Iron Man 3;When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.;"[{""name"": ""Marvel Studios"", ""id"": 420}]";2013-04-18;1215439994;130.0;Unleash the power behind the armor.;Iron Man 3;6.8;8806;Shane Black
200000000;Family & Fantasy & Adventure;12155;based on novel fictional place queen fantasy alice in wonderland;en;Alice in Wonderland;Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Team Todd"", ""id"": 598}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Roth Films"", ""id"": 16314}, {""name"": ""Zanuck Company, The"", ""id"": 20004}]";2010-03-03;1025491110;108.0;You're invited to a very important date.;Alice in Wonderland;6.4;4645;Tim Burton
210000000;Adventure & Action & Science Fiction & Thriller;36668;mutant marvel comic based on comic book superhuman beast;en;X-Men: The Last Stand;When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.;"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Major Studio Partners"", ""id"": 445}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""thinkfilm"", ""id"": 12247}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""X3 Canada Productions"", ""id"": 79028}, {""name"": ""X3US Productions"", ""id"": 79029}, {""name"": ""XM3 Service"", ""id"": 79030}]";2006-05-24;459359555;104.0;Take a Stand;X-Men: The Last Stand;6.3;3525;Brett Ratner
200000000;Animation & Family;62211;monster dormitory games animation best friend;en;Monsters University;A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]";2013-06-20;743559607;104.0;School never looked this scary.;Monsters University;7.0;3528;Dan Scanlon
150000000;Science Fiction & Action & Adventure;8373;egypt sun chaos symbol artifact;en;Transformers: Revenge of the Fallen;Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.;"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]";2009-06-19;836297228;150.0;Revenge is coming.;Transformers: Revenge of the Fallen;6.0;3138;Michael Bay
210000000;Science Fiction & Action & Adventure;91314;sequel alien transformers giant robot robot;en;Transformers: Age of Extinction;"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.";"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""China Movie Channel"", ""id"": 11413}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Ian Bryce Productions"", ""id"": 38833}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]";2014-06-25;1091405097;165.0;This is not war. It's extinction.;Transformers: Age of Extinction;5.8;3095;Michael Bay
200000000;Fantasy & Adventure & Family;68728;circus witch magic hope illusion;en;Oz: The Great and Powerful;Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Roth Films"", ""id"": 16314}]";2013-03-07;491868548;130.0;In Oz, nothing is what it seems;Oz: The Great and Powerful;5.7;3530;Sam Raimi
200000000;Action & Adventure & Fantasy;102382;obsession marvel comic sequel based on comic book electrocution;en;The Amazing Spider-Man 2;For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""Avi Arad Productions"", ""id"": 31828}, {""name"": ""Matt Tolmach Productions"", ""id"": 53462}]";2014-04-16;705717432;142.0;No more secrets.;The Amazing Spider-Man 2;6.5;4179;Marc Webb
170000000;Adventure & Action & Science Fiction;20526;artificial intelligence secret identity computer program dystopia computer;en;TRON: Legacy;Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""LivePlanet"", ""id"": 7161}, {""name"": ""Prana Studios"", ""id"": 18713}, {""name"": ""Sean Bailey Productions"", ""id"": 23791}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}]";2010-12-10;400062763;125.0;The Game Has Changed.;TRON: Legacy;6.3;2841;Joseph Kosinski
200000000;Animation & Family & Adventure & Comedy;49013;car race sequel comedy anthropomorphism best friend;en;Cars 2;Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]";2011-06-11;559852396;106.0;Ka-ciao!;Cars 2;5.8;2033;John Lasseter
